,SEQN,Spending_on_nonfood,Spending_on_eating_out,Spending_on_carryout_deliverred,Spending_on_food,age
0,93703.0,7.393979927306888e-82,0.273972602739726,0.0410958904109589,0.684931506849315,2.0
1,93704.0,0.029850746268656716,0.04975124378109453,0.024875621890547265,0.8955223880597015,2.0
2,93705.0,1.9140444492673857e-81,0.26595744680851063,0.37943262411347517,0.3546099290780142,66.0
3,93706.0,,,,,18.0
4,93707.0,0.07401924500370097,0.07401924500370097,0.037009622501850484,0.8149518874907477,13.0
5,93708.0,0.1724137931034483,9.306216115403496e-82,9.306216115403496e-82,0.8275862068965518,66.0
6,93709.0,0.11764705882352941,0.11764705882352941,1.5875309843923611e-81,0.7647058823529412,75.0
7,93710.0,0.16129032258064516,0.06451612903225806,0.06451612903225806,0.7096774193548387,5.397605346934028e-79
8,93711.0,0.13109596224436287,0.44939695857367595,2.830417067086538e-82,0.4195070791819612,56.0
9,93712.0,4.5017559190442266e-82,0.21434528773978315,4.5017559190442266e-82,0.7856547122602169,18.0
10,93713.0,9.995565457285237e-82,0.07407407407407407,9.995565457285237e-82,0.9259259259259259,67.0
11,93714.0,8.473477781686073e-82,0.40345368916797486,0.09419152276295134,0.5023547880690737,54.0
12,93715.0,0.08333333333333333,0.3333333333333333,4.498004455778357e-82,0.5833333333333334,71.0
13,93716.0,1.6608016452104701e-81,1.6608016452104701e-81,0.23076923076923078,0.7692307692307693,61.0
14,93717.0,0.2,0.2,0.2,0.4,22.0
15,93718.0,5.742133347802157e-82,0.2127659574468085,0.0425531914893617,0.7446808510638299,45.0
16,93719.0,4.3705306452907107e-82,0.08663967611336032,4.3705306452907107e-82,0.9133603238866397,13.0
17,93720.0,0.14285714285714285,0.14285714285714285,7.710864781334326e-82,0.7142857142857143,1.0
18,93721.0,0.36363636363636365,4.906913951758207e-81,4.906913951758207e-81,0.6363636363636364,60.0
19,93722.0,2.4534569758791035e-81,0.09090909090909091,2.4534569758791035e-81,0.9090909090909091,60.0
20,93723.0,0.10344827586206896,0.07758620689655173,9.306216115403496e-82,0.8189655172413793,64.0
21,93724.0,0.49992501117333515,2.6984006117758594e-85,2.6984006117758594e-85,0.5000749888266648,5.0
22,93725.0,0.09523809523809523,0.15873015873015872,0.23809523809523808,0.5079365079365079,9.0
23,93726.0,0.19042316258351893,6.010696377432102e-82,6.010696377432102e-82,0.809576837416481,67.0
24,93727.0,1.7992017823113427e-81,1.7992017823113427e-81,1.7992017823113427e-81,1.0,70.0
25,93728.0,0.0449438202247191,0.449438202247191,6.064725108914639e-82,0.5056179775280899,53.0
26,93729.0,0.0546448087431694,0.0273224043715847,0.04371584699453552,0.8743169398907104,42.0
27,93730.0,1.2640761936613648e-81,0.1990632318501171,1.2640761936613648e-81,0.8009367681498829,57.0
28,93731.0,0.12077294685990338,0.24154589371980675,6.518847037359937e-82,0.6376811594202898,20.0
29,93732.0,0.1891891891891892,0.13513513513513514,2.4313537598801927e-81,0.6756756756756757,72.0
30,93733.0,6.815158266330844e-82,0.1893939393939394,6.815158266330844e-82,0.8106060606060606,11.0
31,93735.0,4.8496004914052365e-82,0.15363881401617252,4.8496004914052365e-82,0.8463611859838275,52.0
32,93736.0,0.3332944489420724,0.3332944489420724,0.3332944489420724,0.0001166531737828991,11.0
33,93737.0,1.5875309843923611e-81,0.29411764705882354,0.11764705882352941,0.5882352941176471,8.0
34,93738.0,2.378847662817994e-82,0.377699427060379,0.05641251652710445,0.5658880564125165,26.0
35,93739.0,0.1977818853974122,0.12939001848428835,4.988544682933482e-82,0.6728280961182995,5.0
36,93740.0,2.8864199716224746e-81,2.8864199716224746e-81,2.8864199716224746e-81,1.0,72.0
37,93741.0,2.4534569758791036e-82,0.09090909090909091,2.4534569758791036e-82,0.9090909090909091,9.0
38,93742.0,0.07633587786259542,0.48854961832061067,0.11450381679389313,0.32061068702290074,72.0
39,93743.0,4.505513645187002e-82,0.5358931552587646,0.0709515859766277,0.39315525876460766,61.0
40,93744.0,7.424491536360424e-82,0.29436038514442914,7.424491536360424e-82,0.7056396148555708,10.0
41,93745.0,6.747006683667535e-82,6.747006683667535e-82,6.747006683667535e-82,1.0,5.0
42,93746.0,0.10223642172523961,0.23961661341853036,0.07987220447284345,0.5782747603833865,25.0
43,93747.0,8.567627534815917e-82,8.567627534815917e-82,8.567627534815917e-82,1.0,13.0
44,93748.0,7.19680712924537e-82,0.06666666666666667,7.19680712924537e-82,0.9333333333333333,5.397605346934028e-79
45,93749.0,4.028063691741812e-82,0.029850746268656716,4.028063691741812e-82,0.9701492537313433,1.0
46,93751.0,0.125,0.075,0.05,0.75,7.0
47,93752.0,1.2267284879395517e-81,0.09090909090909091,1.2267284879395517e-81,0.9090909090909091,73.0
48,93753.0,0.015825169555388093,0.5327807083647325,4.067524752776208e-82,0.4513941220798794,10.0
49,93754.0,8.636168555094445e-82,0.064,0.4112,0.5248,72.0
50,93755.0,0.08174386920980926,0.29155313351498635,0.10899182561307902,0.5177111716621253,26.0
51,93756.0,,,,,64.0
52,93757.0,2.2490022278891783e-81,0.16666666666666666,2.2490022278891783e-81,0.8333333333333334,63.0
53,93758.0,2.125041475170877e-81,2.125041475170877e-81,0.11811023622047244,0.8818897637795275,55.0
54,93759.0,0.1026378896882494,0.09592326139088729,2.5887795428940182e-82,0.8014388489208633,60.0
55,93760.0,,,,,54.0
56,93761.0,8.304008226052351e-82,8.304008226052351e-82,8.304008226052351e-82,1.0,44.0
57,93762.0,1.0480787081425296e-81,1.0480787081425296e-81,0.02912621359223301,0.970873786407767,74.0
58,93763.0,0.08333333333333333,0.3333333333333333,4.203742482035847e-82,0.5833333333333334,40.0
59,93764.0,0.12037037037037036,0.046296296296296294,9.995565457285237e-82,0.8333333333333334,1.0
60,93765.0,5.1454769751515994e-82,0.08102955195424213,5.1454769751515994e-82,0.9189704480457579,19.0
61,93766.0,7.710864781334326e-82,0.21428571428571427,7.710864781334326e-82,0.7857142857142857,36.0
62,93767.0,1.0222737399496265e-81,0.07575757575757576,1.0222737399496265e-81,0.9242424242424242,61.0
63,93768.0,0.09259259259259259,0.3472222222222222,1.2494456821606545e-81,0.5601851851851852,80.0
64,93769.0,0.17627677100494235,0.16474464579901152,4.446132905217486e-82,0.6589785831960461,6.0
65,93770.0,0.12690355329949238,0.07614213197969544,1.369950595668535e-81,0.7969543147208122,55.0
