,SEQN,Spending_on_nonfood,Spending_on_eating_out,Spending_on_carryout_deliverred,Spending_on_food
5772,99475.0,8.996008911556714e-82,0.5,0.5,1.7992017823113427e-81
5773,99476.0,8.433758354584419e-82,0.3125,0.0625,0.625
5774,99477.0,6.350123937569444e-82,6.350123937569444e-82,6.350123937569444e-82,1.0
5775,99478.0,1.0088981956886034e-81,0.1588785046728972,1.0088981956886034e-81,0.8411214953271027
5776,99479.0,7.496674092963928e-82,0.5833333333333334,7.496674092963928e-82,0.4166666666666667
5777,99480.0,0.042444821731748725,0.27249575551782684,0.09083191850594227,0.5942275042444822
5778,99481.0,7.393979927306888e-82,0.08904109589041095,0.0547945205479452,0.8561643835616438
5779,99482.0,1.349401336733507e-81,0.125,0.125,0.75
5780,99483.0,1.7992017823113427e-81,0.16666666666666666,1.7992017823113427e-81,0.8333333333333334
5781,99484.0,0.23980815347721823,0.07194244604316546,0.1079136690647482,0.5803357314148682
5782,99485.0,0.04918032786885246,0.16393442622950818,0.04918032786885246,0.7377049180327868
5783,99486.0,0.07651109410864575,0.1530221882172915,4.129766906605989e-82,0.7704667176740627
5784,99487.0,6.425720651111939e-82,0.05952380952380952,0.023809523809523808,0.9166666666666666
5785,99488.0,0.13535031847133758,0.27229299363057324,0.04777070063694268,0.5445859872611465
5786,99489.0,5.1405765208895504e-82,0.3333333333333333,5.1405765208895504e-82,0.6666666666666666
5787,99490.0,5.397605346934028e-81,5.397605346934028e-81,5.397605346934028e-81,1.0
5788,99491.0,5.250588858885241e-82,0.4163424124513619,5.250588858885241e-82,0.5836575875486382
5789,99492.0,1.893896612959308e-81,0.05263157894736842,1.893896612959308e-81,0.9473684210526315
5790,99493.0,7.19680712924537e-82,0.2,7.19680712924537e-82,0.8
5791,99494.0,1.1994678548742284e-81,0.05555555555555555,0.05555555555555555,0.8888888888888888
5792,99495.0,0.06493506493506493,0.09090909090909091,7.009877073940296e-82,0.8441558441558442
5793,99496.0,1.7300017137609063e-81,1.7300017137609063e-81,0.1282051282051282,0.8717948717948718
5794,99497.0,0.08163265306122448,0.30612244897959184,0.05102040816326531,0.5612244897959184
5795,99498.0,1.1994678548742284e-81,0.2222222222222222,0.1111111111111111,0.6666666666666666
5796,99499.0,,,,
5797,99500.0,1.542172956266865e-81,0.14285714285714285,1.542172956266865e-81,0.8571428571428571
5798,99501.0,3.8554323906671627e-81,0.5714285714285714,3.8554323906671627e-81,0.42857142857142855
5799,99502.0,6.051127070553843e-82,0.05605381165919283,6.051127070553843e-82,0.9439461883408071
5800,99503.0,0.057971014492753624,0.36231884057971014,1.564523288966385e-81,0.5797101449275363
5801,99504.0,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.7857142857142857
5802,99505.0,1.0380010282565439e-81,0.038461538461538464,1.0380010282565439e-81,0.9615384615384616
5803,99506.0,,,,
5804,99507.0,0.058823529411764705,0.049019607843137254,0.058823529411764705,0.8333333333333334
5805,99508.0,,,,
5806,99509.0,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.6666666666666666
5807,99510.0,8.996008911556714e-82,0.16666666666666666,8.996008911556714e-82,0.8333333333333334
5808,99511.0,1.1994678548742284e-81,0.2222222222222222,0.1111111111111111,0.6666666666666666
5809,99512.0,0.06666666666666667,1.1994678548742284e-81,1.1994678548742284e-81,0.9333333333333332
5810,99513.0,7.710864781334326e-82,0.2857142857142857,7.710864781334326e-82,0.7142857142857142
5811,99514.0,0.16666666666666666,0.25,8.996008911556714e-82,0.5833333333333334
5812,99515.0,5.397605346934028e-82,5.397605346934028e-82,5.397605346934028e-82,1.0
5813,99516.0,4.043150072609759e-82,0.37453183520599254,4.043150072609759e-82,0.6254681647940075
5814,99517.0,0.10695187165775401,0.10695187165775401,0.053475935828877004,0.7326203208556149
5815,99518.0,8.705815075700045e-82,0.08064516129032258,0.03225806451612903,0.8870967741935484
5816,99519.0,0.05263157894736842,0.19736842105263158,7.102112298597405e-82,0.75
5817,99520.0,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.7619047619047619
5818,99521.0,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.42857142857142855
5819,99522.0,,,,
5820,99523.0,7.710864781334326e-82,0.2857142857142857,7.710864781334326e-82,0.7142857142857143
5821,99524.0,6.747006683667535e-82,6.747006683667535e-82,6.747006683667535e-82,1.0
5822,99525.0,,,,
5823,99526.0,6.747006683667535e-82,0.375,6.747006683667535e-82,0.625
5824,99527.0,7.602261052019758e-82,0.09577464788732394,7.602261052019758e-82,0.9042253521126761
5825,99528.0,5.397605346934028e-82,5.397605346934028e-82,0.1,0.8999999999999999
5826,99529.0,4.184190191421727e-82,0.15503875968992248,0.015503875968992248,0.8294573643410853
5827,99530.0,8.996008911556714e-82,0.16666666666666666,8.996008911556714e-82,0.8333333333333334
5828,99531.0,0.10309278350515463,0.07216494845360824,5.564541594777348e-82,0.8247422680412371
5829,99532.0,8.996008911556714e-82,0.16666666666666666,8.996008911556714e-82,0.8333333333333334
5830,99533.0,0.11580086580086581,0.09199134199134198,0.05411255411255411,0.738095238095238
5831,99534.0,,,,
5832,99535.0,0.1566265060240964,0.09036144578313253,1.6257847430524181e-81,0.7530120481927711
5833,99536.0,0.0546448087431694,0.0273224043715847,0.04371584699453552,0.8743169398907104
5834,99537.0,8.381374762319919e-82,8.381374762319919e-82,0.046583850931677016,0.953416149068323
5835,99538.0,0.05500550055005501,0.504950495049505,5.93795967759519e-82,0.44004400440044006
5836,99539.0,0.10638297872340426,0.0425531914893617,1.1484266695604315e-81,0.851063829787234
5837,99540.0,1.090425322612935e-81,0.04040404040404041,1.090425322612935e-81,0.9595959595959596
5838,99541.0,0.1391465677179963,0.18552875695732837,0.18552875695732837,0.4897959183673469
5839,99542.0,4.693569866899155e-82,0.13043478260869565,4.693569866899155e-82,0.8695652173913043
5840,99543.0,5.250588858885241e-82,0.048638132295719845,0.048638132295719845,0.9027237354085603
5841,99544.0,0.17647058823529413,0.11764705882352941,6.350123937569444e-82,0.7058823529411765
5842,99545.0,2.652385919869301e-82,0.12285012285012285,2.652385919869301e-82,0.8771498771498771
5843,99546.0,1.0795210693868056e-81,0.1,1.0795210693868056e-81,0.9
5844,99547.0,0.18823529411764706,0.058823529411764705,0.047058823529411764,0.7058823529411765
